2026-08-28 17:19:43 | INFO | amazon_scrapper | Reading keyword workbook: data/Search Keyword Lists.xlsx
2026-08-28 17:19:43 | INFO | amazon_scrapper | Read 28 rows from keyword workbook
2026-08-28 17:19:43 | INFO | amazon_scrapper | Loaded 28 keywords from the input workbook
2026-08-28 17:19:43 | INFO | amazon_scrapper | Starting scrape for 28 keywords
2026-08-28 17:19:44 | INFO | amazon_scrapper | Searching Amazon for keyword='wireless earbuds'
2026-08-28 17:19:48 | INFO | amazon_scrapper | Found 16 products for keyword='wireless earbuds'; skipped=0
2026-08-28 17:19:48 | INFO | amazon_scrapper | Searching Amazon for keyword='gaming mouse'
2026-08-28 17:19:54 | INFO | amazon_scrapper | Found 16 products for keyword='gaming mouse'; skipped=6
2026-08-28 17:19:54 | INFO | amazon_scrapper | Searching Amazon for keyword='USB-C hub'
2026-08-28 17:19:58 | INFO | amazon_scrapper | Found 16 products for keyword='USB-C hub'; skipped=6
2026-08-28 17:19:58 | INFO | amazon_scrapper | Searching Amazon for keyword='mechanical keyboard'
2026-08-28 17:20:09 | INFO | amazon_scrapper | Found 16 products for keyword='mechanical keyboard'; skipped=6
2026-08-28 17:20:09 | INFO | amazon_scrapper | Searching Amazon for keyword='smartwatch'
2026-08-28 17:20:20 | INFO | amazon_scrapper | Found 16 products for keyword='smartwatch'; skipped=6
2026-08-28 17:20:20 | INFO | amazon_scrapper | Searching Amazon for keyword='phone case'
2026-08-28 17:20:24 | INFO | amazon_scrapper | Found 16 products for keyword='phone case'; skipped=6
2026-08-28 17:20:24 | INFO | amazon_scrapper | Searching Amazon for keyword='portable charger'
2026-08-28 17:20:28 | INFO | amazon_scrapper | Found 16 products for keyword='portable charger'; skipped=6
2026-08-28 17:20:28 | INFO | amazon_scrapper | Searching Amazon for keyword='webcam HD'
2026-08-28 17:20:33 | INFO | amazon_scrapper | Found 16 products for keyword='webcam HD'; skipped=6
2026-08-28 17:20:33 | INFO | amazon_scrapper | Searching Amazon for keyword='desk lamp LED'
2026-08-28 17:20:40 | INFO | amazon_scrapper | Found 48 products for keyword='desk lamp LED'; skipped=12
2026-08-28 17:20:40 | INFO | amazon_scrapper | Searching Amazon for keyword='air purifier'
2026-08-28 17:20:46 | INFO | amazon_scrapper | Found 16 products for keyword='air purifier'; skipped=6
2026-08-28 17:20:46 | INFO | amazon_scrapper | Searching Amazon for keyword='instant pot'
2026-08-28 17:20:52 | INFO | amazon_scrapper | Found 16 products for keyword='instant pot'; skipped=6
2026-08-28 17:20:52 | INFO | amazon_scrapper | Searching Amazon for keyword='electric toothbrush'
2026-08-28 17:20:58 | INFO | amazon_scrapper | Found 48 products for keyword='electric toothbrush'; skipped=12
2026-08-28 17:20:58 | INFO | amazon_scrapper | Searching Amazon for keyword='budget laptop'
2026-08-28 17:21:04 | INFO | amazon_scrapper | Found 16 products for keyword='budget laptop'; skipped=6
2026-08-28 17:21:04 | INFO | amazon_scrapper | Searching Amazon for keyword='bluetooth speaker'
2026-08-28 17:21:09 | INFO | amazon_scrapper | Found 16 products for keyword='bluetooth speaker'; skipped=6
2026-08-28 17:21:09 | INFO | amazon_scrapper | Searching Amazon for keyword='kitchen knife set'
2026-08-28 17:21:15 | INFO | amazon_scrapper | Found 48 products for keyword='kitchen knife set'; skipped=0
2026-08-28 17:21:15 | INFO | amazon_scrapper | Searching Amazon for keyword='DSLR camera'
2026-08-28 17:21:20 | INFO | amazon_scrapper | Found 16 products for keyword='DSLR camera'; skipped=6
2026-08-28 17:21:20 | INFO | amazon_scrapper | Searching Amazon for keyword='coffee maker'
2026-08-28 17:21:29 | INFO | amazon_scrapper | Found 48 products for keyword='coffee maker'; skipped=12
2026-08-28 17:21:29 | INFO | amazon_scrapper | Searching Amazon for keyword='gaming chair'
2026-08-28 17:21:36 | INFO | amazon_scrapper | Found 48 products for keyword='gaming chair'; skipped=12
2026-08-28 17:21:36 | INFO | amazon_scrapper | Searching Amazon for keyword='backpack'
2026-08-28 17:21:41 | INFO | amazon_scrapper | Found 16 products for keyword='backpack'; skipped=6
2026-08-28 17:21:41 | INFO | amazon_scrapper | Searching Amazon for keyword='monitor 27 inch'
2026-08-28 17:21:47 | INFO | amazon_scrapper | Found 16 products for keyword='monitor 27 inch'; skipped=6
2026-08-28 17:21:47 | INFO | amazon_scrapper | Searching Amazon for keyword='water bottle'
2026-08-28 17:21:53 | INFO | amazon_scrapper | Found 48 products for keyword='water bottle'; skipped=0
2026-08-28 17:21:53 | INFO | amazon_scrapper | Searching Amazon for keyword='t-shirt'
2026-08-28 17:21:59 | INFO | amazon_scrapper | Found 48 products for keyword='t-shirt'; skipped=12
2026-08-28 17:21:59 | INFO | amazon_scrapper | Searching Amazon for keyword='notebook journal'
2026-08-28 17:22:06 | INFO | amazon_scrapper | Found 48 products for keyword='notebook journal'; skipped=12
2026-08-28 17:22:06 | INFO | amazon_scrapper | Searching Amazon for keyword='sneakers'
2026-08-28 17:22:12 | INFO | amazon_scrapper | Found 48 products for keyword='sneakers'; skipped=0
2026-08-28 17:22:12 | INFO | amazon_scrapper | Searching Amazon for keyword='candle'
2026-08-28 17:22:20 | INFO | amazon_scrapper | Found 48 products for keyword='candle'; skipped=12
2026-08-28 17:22:20 | INFO | amazon_scrapper | Searching Amazon for keyword='sunglasses'
2026-08-28 17:22:26 | INFO | amazon_scrapper | Found 48 products for keyword='sunglasses'; skipped=0
2026-08-28 17:22:26 | INFO | amazon_scrapper | Searching Amazon for keyword='phone stand'
2026-08-28 17:22:30 | INFO | amazon_scrapper | Found 16 products for keyword='phone stand'; skipped=6
2026-08-28 17:22:30 | INFO | amazon_scrapper | Searching Amazon for keyword='yamaha accoustic guitar'
2026-08-28 17:22:35 | INFO | amazon_scrapper | Found 48 products for keyword='yamaha accoustic guitar'; skipped=12
2026-08-28 17:22:38 | INFO | amazon_scrapper | Collected 832 product URLs
2026-08-28 17:22:38 | INFO | amazon_scrapper | Fetching 832 product pages
